name,year,frequency
Associatif,60,1887
Actualites,60,2134
Fortnite,61,3675
Film,61,801
Automobile,61,377
Musique,61,952
Animaux,61,221
Sports,61,3183
Voyage et événements,61,681
Gaming,61,2458
Divertissement,61,1621
Politique,61,1887
Beauté,61,1303
Education,61,1228
Associatif,61,2123
Actualites,61,1619
Fortnite,62,2824
Film,62,854
Automobile,62,364
Musique,62,992
Animaux,62,211
Sports,62,2810
Voyage et événements,62,715
Gaming,62,2273
Divertissement,62,1626
Politique,62,1756
Beauté,62,1332
Education,62,1201
Associatif,62,2291
Actualites,62,1475
Fortnite,63,2655
Film,63,801
Automobile,63,350
Musique,63,989
Animaux,63,228
Sports,63,2704
Voyage et événements,63,746
Gaming,63,1818
Divertissement,63,1532
Politique,63,1691
Beauté,63,1398
Education,63,1086
Associatif,63,2528
Actualites,63,1531
Fortnite,64,2988
Film,64,728
Automobile,64,330
Musique,64,989
Animaux,64,245
Sports,64,2469
Voyage et événements,64,726
Gaming,64,1757
Divertissement,64,1455
Politique,64,1679
Beauté,64,1398
Education,64,1080
Associatif,64,2637
Actualites,64,1548
Fortnite,65,2879
Film,65,636
Automobile,65,341
Musique,65,1089
Animaux,65,237
Sports,65,2213
Voyage et événements,65,719
Gaming,65,1749
Divertissement,65,1422
Politique,65,1614
Beauté,65,1340
Education,65,1054
Associatif,65,2549
Actualites,65,1467
Fortnite,66,2422
Film,66,636
Automobile,66,347
Musique,66,1132
Animaux,66,239
Sports,66,2281
Voyage et événements,66,753
Gaming,66,1777
Divertissement,66,1430
Politique,66,1532
Beauté,66,1322
Education,66,1020
Associatif,66,2585
Actualites,66,1413
Fortnite,67,2367
Film,67,679
Automobile,67,379
Musique,67,1066
Animaux,67,269
Sports,67,2270
Voyage et événements,67,793
Gaming,67,1999
Divertissement,67,1474
Politique,67,1549
Beauté,67,1326
Education,67,1012
Associatif,67,2655
Actualites,67,1419
Fortnite,68,2371
Film,68,663
Automobile,68,395
Musique,68,1038
Animaux,68,296
Sports,68,2332
Voyage et événements,68,776
Gaming,68,2139
Divertissement,68,1418
Politique,68,1515
Beauté,68,1270
Education,68,963
Associatif,68,2589
Actualites,68,1247
Fortnite,69,2869
Film,69,624
Automobile,69,333
Musique,69,1010
Animaux,69,289
Sports,69,2333
Voyage et événements,69,730
Gaming,69,2176
Divertissement,69,1310
Politique,69,1469
Beauté,69,1239
Education,69,931
Associatif,69,2470
Actualites,69,1116
Fortnite,70,2635
Film,70,601
Automobile,70,312
Musique,70,1026
Animaux,70,296
Sports,70,2324
Voyage et événements,70,692
Gaming,70,2027
Divertissement,70,1336
Politique,70,1560
Beauté,70,1272
Education,70,923
Associatif,70,2428
Actualites,70,1115
Fortnite,71,2062
Film,71,581
Automobile,71,311
Musique,71,1094
Animaux,71,298
Sports,71,2273
Voyage et événements,71,640
Gaming,71,1843
Divertissement,71,1392
Politique,71,1697
Beauté,71,1322
Education,71,872
Associatif,71,2507
Actualites,71,1204
Fortnite,72,2538
Film,72,617
Automobile,72,304
Musique,72,1103
Animaux,72,258
Sports,72,1994
Voyage et événements,72,595
Gaming,72,2069
